check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr,date,sum_checkpointCount
193.0,1.0,36.0,8.0,114.0,261.0,57.0,24.0,36.0,10.022538186110069,0.0,345.41846305842455,82.0,251.0,67.0,17.0,1258.17775152776,15.0,358.0,157.0,15.0,2.0,6.0,35.1,2.4,31.0,2015-02-06,3305.6187527722946
79.0,3.0,1.0,1.0,48.0,106.0,18.0,2.0,14.0,10.28616266696281,0.0,248.70957633915123,43.0,104.0,26.0,10.0,1013.4890792105634,8.0,118.0,54.0,4.0,2.0,7.0,33.2,0.2,33.0,2015-02-07,1911.4848182166775
36.0,3.0,0.0,0.0,10.0,57.0,11.0,2.0,5.0,39.421227284703946,0.0,69.96031128711184,19.0,51.0,9.0,0.0,1117.7937009275981,2.0,299.0,24.0,1.0,2.0,8.0,34.2,8.6,65.0,2015-02-08,1756.175239499414
120.0,3.0,13.0,0.0,63.0,205.0,52.0,0.0,40.0,31.884475250767537,0.0,31.98296439277965,52.0,174.0,54.0,4.0,1173.134744159095,2.0,273.0,134.0,5.0,2.0,9.0,31.7,0.4,59.0,2015-02-09,2431.0021838026423
260.0,2.0,8.0,0.0,156.0,333.0,58.0,0.0,42.0,7.108565114322118e-08,0.0,372.06724680588195,117.0,234.0,95.0,42.0,1592.9908441647558,0.0,454.0,183.0,47.0,2.0,10.0,29.0,0.2,32.0,2015-02-10,3996.0580910417234
300.0,0.0,7.0,0.0,166.0,350.0,73.0,0.0,64.0,21.625504324797475,3.0,443.1628851736202,134.0,248.0,105.0,28.0,1447.4201216254223,0.0,343.0,194.0,24.0,2.0,11.0,32.3,2.2,33.0,2015-02-11,3951.2085111238403
226.0,15.0,16.0,1.0,94.0,289.0,48.0,0.0,48.0,2.2711856217938475e-07,0.0,1.4288161764852703e-08,112.0,210.0,86.0,18.0,1270.3408599935942,8.0,275.0,158.0,14.0,2.0,12.0,30.8,5.0,43.0,2015-02-12,2888.340860235001
163.0,3.0,37.0,3.0,96.0,218.0,36.0,13.0,42.0,9.580633513397515,0.0,396.0545576112793,47.0,159.0,79.0,12.0,1122.6792537537622,68.0,213.0,129.0,8.0,2.0,13.0,38.9,0.0,43.0,2015-02-13,2854.3144448784387
53.0,0.0,13.0,1.0,33.0,79.0,12.0,5.0,5.0,2.8716348294396994,0.0,284.5370655820484,20.0,92.0,16.0,2.0,931.2268571837222,24.0,78.0,28.0,4.0,2.0,14.0,35.4,1.2,50.0,2015-02-14,1683.6355575952102
68.0,0.0,5.0,0.0,34.0,103.0,19.0,2.0,6.0,62.16849501203842,2.0,49.83141307546475,41.0,505.0,19.0,3.0,579.891261978773,11.0,48.0,29.0,7.0,2.0,15.0,35.9,0.0,57.0,2015-02-15,1593.8911700662761
193.0,0.0,11.0,11.0,103.0,231.0,47.0,13.0,45.0,14.395898623163703,0.0,261.0506825749999,62.0,211.0,82.0,32.0,1109.1769996283047,39.0,132.0,119.0,24.0,2.0,16.0,38.2,0.0,50.0,2015-02-16,2739.6235808264682
250.0,0.0,43.0,29.0,117.0,270.0,63.0,14.0,55.0,134.8071625806624,0.0,57.368798263590634,92.0,251.0,91.0,34.0,1087.6078221211071,76.0,133.0,175.0,28.0,2.0,17.0,36.6,0.0,31.0,2015-02-17,3000.78378296536
261.0,0.0,19.0,30.0,169.0,322.0,71.0,18.0,45.0,0.0,3.0,714.4907816227251,126.0,255.0,105.0,24.0,1139.0479678832255,85.0,214.0,211.0,31.0,2.0,18.0,32.3,0.2,31.0,2015-02-18,3842.5387495059504
224.0,0.0,12.0,8.0,69.0,236.0,57.0,11.0,38.0,0.0,1.0,1.8009814084507525e-08,59.0,215.0,86.0,0.0,1016.3544315861209,12.0,225.0,146.0,14.0,2.0,19.0,31.3,6.0,57.0,2015-02-19,2429.3544316041307
137.0,0.0,10.0,0.0,65.0,181.0,34.0,6.0,30.0,9.501369124389385,0.0,222.39510912426567,17.0,91.0,30.0,3.0,1140.126092206027,2.0,124.0,96.0,15.0,2.0,20.0,35.1,1.6,59.0,2015-02-20,2213.022570454682
59.0,0.0,10.0,0.0,43.0,89.0,17.0,2.0,2.0,5.100562557525336,3.0,355.7706936347813,23.0,55.0,4.0,4.0,998.8374825473772,16.0,91.0,46.0,6.0,2.0,21.0,30.6,4.0,31.0,2015-02-21,1829.708738739684
94.0,0.0,0.0,0.0,52.0,84.0,8.0,0.0,0.0,1.7491807328069626,0.0,432.47173431680267,23.0,63.0,22.0,3.0,1028.680507745663,10.0,126.0,25.0,3.0,2.0,22.0,25.6,1.2,50.0,2015-02-22,1975.9014227952725
170.0,0.0,0.0,0.0,112.0,238.0,42.0,0.0,0.0,0.0,0.0,580.807072751353,57.0,221.0,51.0,29.0,1083.4296566111693,0.0,107.0,130.0,4.0,2.0,23.0,35.9,0.0,50.0,2015-02-23,2825.236729362522
241.0,0.0,7.0,0.0,105.0,247.0,56.0,3.0,0.0,56.48725809598773,0.0,63.00044411140061,62.0,255.0,75.0,40.0,1075.5638640879276,2.0,190.0,192.0,8.0,2.0,24.0,35.1,0.0,41.0,2015-02-24,2678.0515662953158
252.0,0.0,20.0,1.0,136.0,301.0,62.0,2.0,0.0,9.969991022036083,0.0,279.08687791953025,84.0,61.0,104.0,40.0,1423.9225549417754,3.0,196.0,196.0,30.0,2.0,25.0,29.1,0.8,31.0,2015-02-25,3200.979423883342
250.0,0.0,4.0,12.0,130.0,261.0,62.0,4.0,0.0,5.8770582488459695,0.0,378.6032979032086,78.0,25.0,90.0,39.0,1405.7676101909553,5.0,223.0,168.0,24.0,2.0,26.0,35.1,0.0,31.0,2015-02-26,3165.24796634301
248.0,0.0,5.0,1.0,162.0,249.0,65.0,14.0,0.0,1.7458796719438396e-07,0.0,950.575107665901,86.0,149.0,99.0,43.0,1255.953517673032,4.0,242.0,140.0,24.0,2.0,27.0,33.7,0.0,46.0,2015-02-27,3737.528625513521
119.0,0.0,2.0,0.0,80.0,119.0,44.0,3.0,0.0,13.816296870020778,0.0,579.102056442965,69.0,144.0,19.0,10.0,1003.7868865844483,6.0,150.0,56.0,6.0,2.0,28.0,29.3,0.0,44.0,2015-02-28,2423.7052398974342
96.0,0.0,0.0,1.0,65.0,110.0,22.0,7.0,0.0,3.975269464717712e-07,0.0,479.0823221320429,56.0,144.0,27.0,8.0,986.2796189569992,6.0,151.0,53.0,9.0,3.0,1.0,28.4,0.2,31.0,2015-03-01,2220.361941486569
222.0,0.0,4.0,16.0,133.0,318.0,51.0,9.0,1.0,1.36717517307261e-07,0.0,399.0011748512295,102.0,228.0,111.0,41.0,1281.8171178499433,18.0,180.0,157.0,24.0,3.0,2.0,25.2,1.0,67.0,2015-03-02,3295.81829283789
274.0,0.0,6.0,29.0,61.0,350.0,61.0,12.0,0.0,50.07349764967876,0.0,1.2857526598963886e-08,106.0,244.0,111.0,47.0,1010.2894812209861,18.0,190.0,187.0,27.0,3.0,3.0,29.4,6.0,43.0,2015-03-03,2783.3629788835224
247.0,0.0,31.0,0.0,110.52168928014652,317.0,57.0,7.0,1.0,7.354265108006075e-08,0.0,175.91647192602113,139.0,285.0,102.0,21.0,1142.5247011521933,5.0,137.0,143.0,24.0,3.0,4.0,20.0,0.0,61.0,2015-03-04,2944.962862431904
