date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-03-14,156,0,17,56,,249,70,12,18,,0,,190,279,42,12,,124,276,151,14,3,14,19.5,7.4,44.0
2015-03-15,100,0,17,0,,95,17,1,0,,0,,66,100,26,6,,19,64,34,5,3,15,22.1,2.0,54.0
2015-03-16,327,0,27,1,,483,84,7,1,,0,,217,354,139,46,,77,288,285,23,3,16,22.6,0.0,31.0
2015-03-17,360,0,10,79,,516,93,9,1,,0,,227,409,144,53,,182,336,309,32,3,17,21.2,1.8,72.0
2015-03-18,377,0,5,103,,532,101,14,0,,0,,241,463,134,57,,136,286,342,46,3,18,26.5,0.0,57.0
2015-03-19,435,0,1,0,,608,115,19,1,,0,,236,465,163,68,,224,385,367,38,3,19,25.4,0.0,50.0
2015-03-20,523,0,1,0,,686,156,27,12,,0,,385,521,159,71,,279,387,381,47,3,20,21.4,0.0,32.0
2015-03-21,202,0,0,0,,204,51,5,6,,0,,140,247,48,17,,119,199,88,16,3,21,22.3,3.8,67.0
2015-03-22,110,0,1,0,,107,24,1,2,,0,,87,180,35,7,,70,150,21,13,3,22,30.2,,31.0
2015-03-23,342,0,0,0,,420,86,18,5,,0,,199,387,160,59,,171,342,263,48,3,23,29.0,0.0,46.0
2015-03-24,536,0,4,0,,731,141,45,0,,0,,487,581,201,74,,281,460,409,50,3,24,24.7,0.0,31.0
2015-03-25,658,0,1,0,,906,230,37,0,,0,,470,772,265,70,,374,571,579,72,3,25,18.9,0.0,48.0
2015-03-26,530,0,10,0,,841,197,36,0,,0,,364,646,209,18,,372,484,561,82,3,26,14.8,0.0,46.0
2015-03-27,502,0,9,0,,643,147,42,0,,0,,340,613,182,14,,284,502,363,46,3,27,19.7,3.6,35.0
2015-03-28,313,0,8,54,,384,78,19,0,,3,,354,503,109,2,,211,385,184,22,3,28,23.6,0.0,37.0
2015-03-29,375,0,13,0,,484,123,35,0,,3,,421,570,127,3,,256,419,213,22,3,29,21.3,0.0,44.0
2015-03-30,439,0,21,156,,637,141,47,0,,1,,304,531,187,25,,251,512,410,58,3,30,16.3,1.0,59.0
2015-03-31,729,0,20,449,,1074,242,101,0,,9,,593,1018,306,3,,412,698,664,91,3,31,19.4,0.0,44.0
2015-04-01,989,0,281,594,,1380,272,148,446,,16,,763,1197,343,33,,568,853,834,100,4,1,20.4,0.0,43.0
2015-04-02,870,0,397,601,,1429,337,143,825,,38,,807,1222,396,0,,707,879,839,162,4,2,14.3,0.0,41.0
2015-04-03,993,905,925,520,,1323,344,199,722,,226,,1289,1773,443,0,,662,1002,597,66,4,3,9.0,0.0,48.0
2015-04-04,189,156,60,55,,338,78,29,136,,5,,323,455,65,0,,140,304,147,18,4,4,17.5,4.4,56.0
2015-04-05,228,218,65,114,,379,106,43,234,,19,,365,500,114,0,,238,381,174,24,4,5,20.2,0.0,52.0
2015-04-06,398,282,279,235,,653,175,84,404,,20,,468,729,192,0,,301,509,377,47,4,6,19.7,0.6,32.0
2015-04-07,1294,759,841,873,,1904,400,288,1075,,67,,1001,1443,505,0,,778,1116,1174,136,4,7,17.1,0.0,39.0
2015-04-08,1430,709,985,883,,1883,443,373,1132,,29,,772,1476,580,0,,801,1203,1173,135,4,8,16.6,3.2,39.0
2015-04-09,1498,831,1025,882,,1994,486,336,1172,,43,,917,1664,526,0,,871,1057,1339,165,4,9,14.4,0.0,56.0
2015-04-10,795,446,610,382,,1133,255,165,715,,14,,812,979,271,0,,526,773,716,90,4,10,10.7,0.0,76.0
2015-04-11,779,831,943,467,,1055,316,217,636,,121,,637,1355,298,0,,569,1011,567,70,4,11,12.5,0.0,67.0
2015-04-12,1699,2083,2141,853,,1612,704,667,1078,,589,,2264,2500,777,0,,844,1630,806,75,4,12,8.4,0.0,43.0
2015-04-13,2990,2394,3047,1768,,3636,1139,1182,2332,,439,,2233,3328,1522,0,,1521,2303,2389,327,4,13,5.9,0.0,70.0
2015-04-14,2890,2214,2880,1694,,3561,1049,1028,2199,,306,,2025,3051,1274,0,,1584,2156,2277,292,4,14,6.9,0.0,61.0
2015-04-15,3449,2412,3305,1720,,3986,1118,1283,2500,,483,,2330,3291,1551,0,,1627,2615,2588,297,4,15,10.1,0.0,37.0
2015-04-16,3639,2656,3526,1798,,4300,1189,1269,2514,,496,,2441,3564,1599,0,,1762,2646,2721,345,4,16,10.0,0.0,50.0
2015-04-17,3320,2595,3196,1580,,4153,1192,1091,2327,,436,,2485,3540,1495,0,,1745,2909,2630,316,4,17,4.7,0.0,50.0
2015-04-18,1225,1429,1471,628,,1618,492,384,813,,269,,1372,1853,411,0,,864,1548,730,76,4,18,11.8,0.0,48.0
2015-04-19,2147,2663,2689,1019,,2314,873,891,1302,,977,,2659,3252,1036,0,,1205,2043,1093,101,4,19,11.6,0.0,39.0
2015-04-20,1419,894,1318,711,,1800,495,524,1243,,83,,950,1510,686,0,,808,1287,1328,200,4,20,10.4,0.0,56.0
2015-04-21,1446,946,1370,754,,1898,494,409,1201,,156,0.0,1187,1609,516,0,,849,1442,1248,137,4,21,9.6,0.0,56.0
2015-04-22,2119,1292,1897,713,,2280,708,734,1595,,152,0.0,1364,2086,896,0,,1184,1829,1703,237,4,22,11.1,0.0,46.0
2015-04-23,1670,1101,1604,555,,2112,567,513,1384,,136,435.0,1183,1845,673,0,,996,1550,1404,151,4,23,13.9,0.0,56.0
2015-04-24,1706,1220,1689,794,,2183,615,532,1419,,114,670.0,1276,1917,678,0,,1052,1800,1473,175,4,24,15.5,0.0,44.0
